question,answer
什么是智慧城市？,智慧城市利用信息技术提高城市管理和服务质量，包括智能交通、智慧能源、电子政务等。目标是提高居民生活质量。
什么是纳米技术？,纳米技术研究1-100纳米尺度材料的特性和应用，在医学、电子和材料科学有革命性潜力。可用于靶向药物输送。
什么是暗物质？,暗物质是一种不发光不吸收光的物质，通过引力效应推断其存在。约占宇宙总质能的27%，性质仍是未解之谜。
什么是光合作用？,光合作用是植物利用光能将二氧化碳和水转化为有机物和氧气的过程。叶绿体是进行光合作用的细胞器。
什么是相对论？,爱因斯坦相对论包括狭义相对论（处理高速运动）和广义相对论（描述引力）。它改变了人们对时空的理解。
什么是免疫系统？,免疫系统是机体识别和清除病原体的防御系统，包括先天免疫和适应性免疫。疫苗通过激活免疫系统提供保护。
什么是黑洞？,黑洞是时空曲率大到光都无法逃脱的天体，由大质量恒星坍缩形成。事件视界是黑洞的边界。
什么是全球变暖？,全球变暖指地球平均气温上升现象，主要原因是温室气体增加。它导致极地冰融化和海平面上升等后果。
什么是心理学？,心理学研究行为和心理过程的科学，主要分支有认知、发展、临床和社会心理学。它帮助理解人类行为规律。
什么是火山喷发？,火山喷发是地壳中岩浆喷出地表的现象，可分为裂谷、热点和俯冲带火山。它创造新陆地但也带来灾害。
什么是经济学？,经济学研究资源分配和决策的科学，主要分支有微观和宏观经济学。它分析个人、企业和政府的经济行为。
什么是地壳运动？,地壳运动指地球岩石圈板块的运动，包括碰撞、分离和剪切边界。它导致地震、火山和山脉形成。
什么是人工智能伦理？,人工智能伦理研究AI发展中的道德问题，包括隐私、偏见、责任和透明度。需要建立相关法规和标准。
什么是人类基因组？,人类基因组包含组成人类DNA的全部基因序列，约含2-2.5万个基因。基因组计划于2003年完成测序。
什么是数学思维？,数学思维是用数学概念解决问题的方式，包括抽象、逻辑推理、建模和优化。它有助于系统分析问题。
什么是可持续发展？,可持续发展满足当前需求而不损害后代需求的发展模式，基于环境、社会和经济三大支柱。
什么是光合速率？,光合速率单位时间单位叶面积光合作用固定二氧化碳的量，受光强、温度和二氧化碳浓度影响。
什么是细胞分裂？,细胞分裂是细胞增殖过程，包括有丝分裂（体细胞）和减数分裂（生殖细胞）。保证遗传信息传递。
什么是道德哲学？,道德哲学研究对错、善恶的本质，主要理论有功利主义、义务论和德性伦理学。指导道德决策。
什么是量子纠缠？,量子纠缠是粒子间无论距离多远都能瞬时影响的现象。爱因斯坦称为"鬼魅般的超距作用"。
什么是生物钟？,生物钟是生物体内控制生理节律的机制，以约24小时为周期。影响睡眠、代谢和激素分泌。
什么是清洁能源？,清洁能源生产过程中低污染排放，包括太阳能、风能、水能、核能和氢能。替代化石燃料的关键。
什么是微生物？,微生物是微小生物的总称，包括细菌、病毒、真菌和原生生物。多数有益，少数致病。
什么是宇宙膨胀？,宇宙膨胀是星系间距离不断增加的现象，哈勃定律描述膨胀速率。暗能量可能是驱动力量。
什么是机器学习模型？,机器学习模型是从数据中学习的算法，类型包括回归、分类、聚类和深度学习模型。需评估性能。
什么是生物进化？,生物进化是种群遗传特征随时间变化的过程，自然选择是主要机制。化石记录提供证据。
什么是温室效应？,温室效应是大气温室气体吸收红外辐射导致升温的现象。适度温室效应维持地球宜居温度。
什么是政治学？,政治学研究权力、政府和公共政策的学科，子领域包括比较政治、国际关系和公共管理。
什么是相对湿度？,相对湿度是空气中水蒸气含量与同温度下最大可能含量的比值。影响舒适度和降水概率。
什么是密码学？,密码学研究安全通信技术，包括加密、解密和认证。在现代信息安全中至关重要。
什么是火山灰？,火山灰是火山喷发产生的细小岩石碎片和矿物颗粒，可影响气候、航空和农业。
什么是哲学？,哲学对基本问题如存在、知识、价值和理性的系统研究，培养批判性思维和世界观。
什么是深度学习框架？,深度学习框架是简化模型开发的软件库，如TensorFlow、PyTorch。提供预构建组件。
什么是地震？,地震是地壳快速释放能量导致的地面震动，由断层滑动引起。震级和烈度衡量强度。
什么是国际法？,国际法规范国家间关系的规则体系，主要来源有条约、习惯和一般法律原则。
什么是基因？,基因是遗传的基本单位，DNA序列编码特定蛋白质或功能RNA。决定生物性状。
什么是大气压？,大气压是空气柱对单位面积的压力，随高度增加而降低。标准大气压为101.325千帕。
什么是宪法？,宪法是国家的根本大法，规定政府组成、权力和公民基本权利。具有最高法律效力。
什么是机器学习算法？,机器学习算法从数据中学习模式的数学方法，包括监督、无监督和强化学习算法。
什么是冰川？,冰川是多年积雪压实形成的巨大冰体，在重力作用下缓慢移动。淡水重要储存库。
什么是法学？,法学研究法律现象和规律的学科，包括法理学、宪法学、民法学和刑法学等分支。
什么是人工智能安全？,AI安全研究确保AI系统可靠、可控、对齐人类价值观的领域，防止意外危害。
什么是生态系统？,生态系统是生物群落与无机环境相互作用的整体，通过能量流动和物质循环维持。
什么是宪法权利？,宪法权利是宪法保障的基本权利，如言论自由、平等保护。政府不得随意剥夺。
什么是神经网络？,神经网络由互联节点组成的学习系统，通过调整连接权重模拟人脑处理信息。
什么是道德哲学？,道德哲学研究对错、善恶的本质，主要理论有功利主义、义务论和德性伦理学。指导道德决策。
什么是全球化和其影响？,全球化是各国互联加深的过程，影响经济、文化、政治和环境。带来机遇和挑战。
什么是生物技术？,生物技术利用生物体开发产品的技术，应用在医药、农业、工业和环境领域。
什么是民主制度？,民主制度人民通过选举参与决策的政治体制，核心价值包括自由、平等和多数统治。
什么是计算机视觉？,计算机视觉使计算机理解视觉信息的学科，应用包括图像分类、目标检测和面部识别。
什么是社会心理学？,社会心理学研究个体在社会环境中思维、情感和行为的分支，关注社会影响。
什么是气候变化适应？,气候变化适应调整应对已发生或预期气候影响的行动，包括基础设施调整和农业适应。
什么是纳米材料？,纳米材料至少一维尺寸在1-100纳米的材料，具有独特电学、光学和力学性质。
什么是机器学习应用？,机器学习应用广泛，包括推荐系统、欺诈检测、医疗诊断和自动驾驶。改变行业运作方式。
什么是地球科学？,地球研究地球结构、组成和动态的学科，包括地质、气象、海洋和天文等分支。
什么是政治哲学？,政治哲学研究政府、法律、正义和权利基本问题的分支，探索理想政治体制。
什么是再生能源？,再生能源自然过程中补充的能源，如太阳能、风能，不会因使用而枯竭。
什么是人类学？,人类学研究人类生物和文化特征的学科，包括考古、语言、生物和文化人类学。
什么是数据科学？,数据科学从数据提取知识的跨领域，结合统计、编程和领域知识解决实际问题。
什么是法律体系？,法律体系是国家法律规范的整体，包括成文法、判例法和习惯法。大陆法系和普通法系是主要类型。
什么是认知心理学？,认知心理学研究心理过程的学科，如知觉、记忆、思维和决策。了解心智工作原理。
什么是绿色建筑？,绿色建筑在设计、建造和运营中考虑环境影响的建筑，提高资源效率和使用者健康。
什么是海洋学？,海洋学研究海洋物理、化学、生物和地质特征的学科，理解海洋在全球系统中的作用。
什么是机器学习趋势？,机器学习趋势包括自监督学习、联邦学习、可解释AI和AI伦理。领域持续快速发展。
什么是物理学的贡献？,物理学贡献包括理解宇宙规律、技术发展（半导体、激光）和改善生活质量。基础科学价值。
什么是社会学的价值？,社会学价值理解社会结构、变迁和问题，为政策制定和社会改善提供见解。
什么是空间探索？,空间探索利用航天器探索宇宙，增进宇宙知识、技术进步和国际合作。激发科学兴趣。
什么是化学的应用？,化学应用在医药、材料、能源、环境和食品领域，改善人类生活和解决全球挑战。
什么是基因遗传？,基因遗传是性状从亲代到子代传递的过程，由DNA序列和表达调控决定。
什么是国际关系？,国际关系研究国家、组织间互动，主题包括外交、安全、贸易和全球治理。
什么是植物生理学？,植物生理学研究植物功能活动的学科，如光合、呼吸、营养和生长。农业应用重要。
什么是天体物理学？,天体物理学应用物理原理研究天体的学科，探讨宇宙起源、演化和终极命运。
什么是环境科学？,环境科学研究环境问题及其解决的跨学科，综合生态、化学、地理和社会科学。
HTTP和HTTPS有什么区别？,HTTP是超文本传输协议，数据不加密；HTTPS是安全超文本传输协议，通过SSL/TLS加密数据传输，更安全。HTTPS使用端口443，HTTP使用端口80。
太阳能如何工作？,太阳能通过光伏电池将太阳光直接转换为电能，或通过太阳能热利用系统将太阳能转化为热能。光伏效应是太阳能发电的基本原理。
如何提高记忆力？,提高记忆力的方法：保证充足睡眠、定期锻炼、健康饮食、使用记忆技巧（如联想、分类）、减少压力和学习新技能。
如何应对工作压力？,应对工作压力策略：时间管理、设定边界、寻求支持、放松技巧（深呼吸、冥想）、保持工作生活平衡和定期休假。
如何培养批判性思维？,培养批判性思维需要：多问为什么、检验证据来源、考虑多种观点、识别逻辑谬误和保持开放心态。日常可通过辩论和分析新闻练习。
如何改善睡眠质量？,改善睡眠质量方法：固定作息时间、创造舒适睡眠环境、避免睡前使用电子设备、限制咖啡因摄入和进行放松活动。
如何有效学习新知识？,有效学习方法：主动回忆、间隔重复、交叉学习、教授他人和与实际应用结合。理解比死记硬背更重要。
如何建立良好的人际关系？,建立良好人际关系需要：真诚倾听、尊重差异、及时沟通、保持信任和提供支持。同理心是重要基础。
如何提高创造力？,提高创造力方法：跨领域学习、头脑风暴、保持好奇心、改变环境和接受失败。日常记录灵感有助创意积累。
如何做出重大决策？,重大决策步骤：明确目标、收集信息、评估选项、考虑后果、咨询他人和适时调整。避免在情绪激动时决策。
如何保持心理健康？,保持心理健康需要：建立支持系统、管理压力、培养兴趣爱好、寻求专业帮助和保持积极心态。定期自检情绪状态。
如何提高团队合作效率？,提高团队效率方法：明确目标分工、建立信任、有效沟通、定期反馈和庆祝成就。团队建设活动有助增强凝聚力。
如何规划退休生活？,退休规划包括：财务准备、健康管理、兴趣爱好培养和社会参与。尽早开始规划有助于实现理想退休生活。
如何提高演讲能力？,提高演讲能力：充分准备、了解观众、练习表达、使用视觉辅助和管理紧张。加入Toastmasters等组织有助练习。
如何应对焦虑情绪？,应对焦虑：深呼吸练习、认知重构、渐进式肌肉放松、限制咖啡因和寻求专业帮助。正念冥想有显著效果。
如何提高工作效率？,提高工作效率：消除干扰、使用番茄钟、批量处理任务、自动化流程和定期休息。时间追踪有助识别效率黑洞。
如何学习一门外语？,外语学习：沉浸式学习、日常练习、使用多种资源（应用、影视）、与母语者交流和不怕犯错。设定可实现的目标。
如何建立个人品牌？,建立个人品牌：明确专业定位、创建内容、维护社交媒体、网络建设和保持一致性。真实性和价值提供是关键。
如何有效节约用水？,节约用水：修复漏水、使用节水器具、缩短淋浴时间、雨水收集和选择耐旱植物。每人每日节约目标可为50升。
如何准备求职面试？,面试准备：研究公司、练习常见问题、准备问题、着装得体和管理紧张。行为面试技巧STAR法很有效。
如何保护眼睛健康？,保护眼睛：20-20-20规则（每20分钟看20英尺外20秒）、良好照明、防紫外线、均衡饮食和定期检查。
如何培养成长型思维？,成长型思维认为能力可发展，培养方法：拥抱挑战、坚持努力、学习批评和从失败中学习。表扬过程而非结果。
如何减少塑料污染？,减少塑料污染：使用可重复用品、选择无包装产品、参与清洁活动和支持政策。避免使用一次性塑料制品。
如何改善空气质量？,改善空气质量：减少车辆使用、使用清洁能源、植树造林、工业排放控制和室内空气净化。监测PM2.5水平。
如何有效记忆数字？,记忆数字技巧：分组法、联想故事、与已知信息连接和使用记忆宫殿。练习可提高数字记忆能力。
如何培养 Resilience？,培养心理韧性：建立支持网络、保持乐观、接受变化、从经验学习和自我照顾。视挑战为学习机会。
如何学习编程算法？,学习算法：理解基础、可视化过程、逐步调试、实践编码和参加竞赛。LeetCode等平台提供练习机会。
如何提高阅读速度？,提高阅读速度：避免默读、扩大视幅、使用指引器、练习和减少回视。理解比速度更重要。
如何保护海洋生态？,保护海洋：减少塑料、可持续捕捞、支持保护区、减少碳足迹和不购买珊瑚制品。参与海滩清洁。
如何管理个人财务？,财务管理：预算制定、债务控制、应急储蓄、投资学习和保险保障。50/30/20预算法则很实用。
如何提高逻辑思维？,提高逻辑思维：学习逻辑学、解谜游戏、辩论练习、编程学习和分析论证。识别常见逻辑谬误。
如何应对拖延症？,应对拖延：分解任务、设定截止期、消除干扰、五分钟规则和奖励进步。理解拖延原因有助解决。
如何有效做笔记？,有效笔记：主动倾听、使用缩写、视觉组织、康奈尔法和定期复习。数字化工具可提高效率。
如何培养 empathy？,培养共情：积极倾听、想象他人视角、不评判、验证感受和阅读文学。换位思考练习有助发展。
如何保护网络安全？,网络安全：强密码、多因素认证、软件更新、警惕钓鱼和VPN使用。定期备份重要数据。
如何提高注意力？,提高注意力：单一任务、冥想练习、减少干扰、规律休息和设定明确目标。注意力像肌肉可训练。
如何有效开会？,有效会议：明确议程、限制时间、邀请关键人、记录行动项和跟进结果。站立会议可提高效率。
如何减少食物浪费？,减少浪费：计划购物、合理储存、理解保质期、利用剩余和创新食谱。家庭 composting 是选项。
如何学习历史？,学习历史：建立时间线、理解因果关系、多视角分析、参观遗址和联系现实。历史提供宝贵教训。
如何建立健康习惯？,建立习惯：从小开始、设定触发器、跟踪进度、不完美开始和寻找伙伴。21天可形成基础习惯。
如何提高谈判技巧？,谈判技巧：准备充分、理解利益、创造价值、有效沟通和寻求双赢。BATNA概念很重要。
如何保护野生动物？,保护野生动物：支持保护区、反对非法贸易、减少栖息地破坏和负责任旅游。公民科学可参与。
如何管理电子邮件？,邮件管理：定时处理、使用过滤器、模板回复、归档系统和取消订阅。目标收件箱归零。
如何提高摄影技巧？,提高摄影：学习构图、理解曝光、练习后期、研究大师和接受批评。每日拍摄有助进步。
如何减少能源消耗？,节能措施：使用LED灯、优化供暖制冷、选择高效电器和行为改变。家庭能源审计有助识别浪费。
如何有效学习数学？,数学学习：理解概念、逐步解题、检查错误、实际应用和不跳过基础。定期复习很关键。
如何提高写作能力？,提高写作：广泛阅读、每日练习、接受反馈、修改编辑和找到独特声音。写作工作坊有助成长。
如何保护土壤健康？,保护土壤：轮作种植、有机施肥、减少侵蚀、覆盖作物和避免过度耕作。土壤是生命基础。
如何管理项目？,项目管理：明确范围、制定计划、分配资源、监控进度和风险管理。敏捷方法提高灵活性。
如何提高倾听技巧？,提高倾听：保持眼神接触、不打断、提问澄清、总结理解和避免预判。全心关注说话者。
如何减少碳足迹？,减少碳足迹：能源选择、交通方式、饮食调整、消费习惯和碳抵消。计算个人碳足迹有助目标设定。
如何培养自信心？,培养自信：设定小目标、庆祝成功、学习技能、积极自我对话和接受不完美。自信随成功经验增长。
如何有效记忆？,有效记忆：理解材料、建立联系、多次复习、教授他人和充足睡眠。记忆曲线指导复习时机。
如何保护水资源？,保护水资源：修复漏水、高效灌溉、减少污染、支持政策和公众教育。水是宝贵有限资源。
如何提高批判性阅读？,批判性阅读：提问文本、分析假设、验证证据、考虑背景和形成独立判断。不止理解表面意思。
如何减少屏幕时间？,减少屏幕时间：设定界限、寻找替代活动、使用应用限制和创建无设备区。平衡数字与现实生活。
如何有效学习语言？,语言学习：沉浸环境、日常练习、不怕犯错、多种媒体使用和与母语者交流。动机是关键因素。
如何保护森林资源？,保护森林：可持续采伐、重新造林、防止火灾、反对非法砍伐和支持保护區。森林是地球之肺。
如何提高解决问题的能力？,解决问题：明确定义、分析原因、生成方案、评估选择和实施反馈。系统方法提高成功率。
如何建立储蓄习惯？,建立储蓄：支付自己 first、自动转账、设定目标、减少不必要开支和跟踪进度。应急基金是基础。
如何提高团队凝聚力？,提高凝聚力：共同目标、信任建设、有效沟通、冲突解决和社交活动。认同感增强凝聚力。
如何保护文化遗产？,保护文化遗产：文档记录、修复维护、教育宣传、法律保护和社区参与。文化遗产是身份象征。
如何有效决策？,有效决策：收集信息、评估选项、考虑风险、咨询他人和及时行动。避免分析瘫痪。
如何减少光污染？,减少光污染：屏蔽灯具、使用暖光、定时控制、适当亮度和公众意识。保护夜空和生态系统。
如何培养耐心？,培养耐心：正念练习、调整期望、分解任务、练习等待和管理挫折。理解事物发展需要时间。
如何提高面试技巧？,面试技巧：研究公司、练习回答、准备问题、积极倾听和后续感谢。展示热情和适合度。
如何保护湿地？,保护湿地：建立保护区、控制污染、可持续利用、恢复项目和公众教育。湿地是重要生态系统。
如何有效学习科学？,科学学习：理解方法、实验实践、联系现实、提问质疑和阅读最新研究。好奇心驱动学习。
如何减少噪音污染？,减少噪音：隔音材料、限制音量、城市规划、个人防护和公众意识。噪音影响健康福祉。
如何培养乐观态度？,培养乐观：感恩练习、积极重构、关注可控、寻找 silver lining 和围绕积极人群。
如何提高跨文化沟通？,跨文化沟通：学习文化、保持开放、避免刻板、尊重差异和适应风格。全球化时代重要技能。
如何保护蜜蜂种群？,保护蜜蜂：种植蜜源、减少农药、提供栖息地、支持研究和公众教育。蜜蜂对 pollination 关键。
如何有效管理压力？,压力管理：识别来源、健康生活方式、时间管理、放松技巧和社会支持。长期压力需专业帮助。
如何减少电子废物？,减少 e-waste：延长使用、维修升级、 responsible 回收、选择环保产品和支持政策。
如何培养感恩心态？,培养感恩：每日记录、表达感谢、反思益处和志愿服务。感恩与幸福感密切相关。
如何提高领导能力？,提高领导：愿景沟通、赋能他人、决策能力、接受反馈和持续学习。领导可通过实践发展。
如何保护珊瑚礁？,保护珊瑚礁：减少温室气体、可持续旅游、控制污染、保护物种和支持保护區。珊瑚礁是海洋 rainforest。
如何有效学习艺术？,艺术学习：观察分析、实践创作、研究历史、接受批评和找到个人风格。艺术表达人类经验。
如何减少纸张使用？,减少用纸：数字化文档、双面打印、电子账单、回收利用和行为改变。保护森林资源。
如何培养幽默感？,培养幽默：不严肃自己、观察生活、学习笑话、轻松面对和分享欢笑。幽默缓解压力。
如何提高沟通技巧？,沟通技巧：清晰表达、积极倾听、非语言注意、反馈确认和情境适应。有效沟通减少误解。
如何保护极地生态？,保护极地：应对气候变化、减少污染、可持续渔业和国际合作。极地是全球气候调节器。
明朝在位时间最长的皇帝是哪位？,万历皇帝（朱翊钧），在位48年（1572-1620年）[1](@ref)
火药始用于军事上是在什么时候？,唐朝末年[1](@ref)
“大清”的国号是哪位清朝皇帝定的？,皇太极（清太宗）[1](@ref)
《南京条约》什么时候签定的？,1842年8月29日
中国历史上在位时间最长的皇帝是谁？,康熙皇帝（爱新觉罗·玄烨），在位61年（1661-1722年）
世界上现存最古老的石拱桥是哪一座？,赵州桥，由隋朝匠师李春建造，距今已有1400多年历史
世界上最早的兵书是哪一部？,《孙子兵法》，为春秋时期孙武所著[1](@ref)
“三秋桂子，十里荷花”出自于哪首词？,《望海潮》[1](@ref)
《左传》纪元从鲁国哪位国君开始？,鲁隐公[1](@ref)
“生当作人杰，死亦为鬼雄”是谁写的？,李清照（易安居士）[1](@ref)
古诗“风、雅、颂”中的“风”是指什么？,《国风》[1](@ref)
初唐四杰分别是？,王勃、杨炯、卢照邻、骆宾王[1](@ref)
中国第一部最大的大百科全书是？,《永乐大典》[1](@ref)
“三曹”指汉魏间曹操与子曹丕、曹植[1](@ref),正确
“三苏”指北宋文学家苏洵与子苏轼、苏辙[1](@ref),正确
“战国七雄”指战国时魏、赵、韩、齐、秦、楚、燕七大强国[1](@ref),正确
“竹林七贤”指魏晋间的嵇康、阮籍、山涛、向秀、阮咸、王戎、刘伶[1](@ref),正确
“唐宋八大家”指唐代的韩愈、柳宗元和宋代的欧阳修、苏洵、苏轼、苏辙、王安石、曾巩[1](@ref),正确
“扬州八怪”指中国清代中期活动于扬州地区一批风格相近的书画家汪士慎、黄慎、金农、高翔、李鳝、郑燮、李方膺、罗聘[1](@ref),正确
“九州”在《书·禹贡》中指冀、兖、青、徐、扬、荆、豫、梁、雍[1](@ref),正确
“二十四史”不包括下列哪部著作？,《资治通鉴》[1](@ref)
下面不属于二十四节气的是？,冬蜇[1](@ref)
“三十六计”中不包括下列哪一计？,开门揖盗[1](@ref)
《红楼梦》前多少回是曹雪芹所作？,八十回[1](@ref)
《百家姓》“首八姓”中没有下面哪个姓？,武[1](@ref)
下面表示100岁的是？,期颐[1](@ref)
《水浒传》一百单八将中女将有几位？,三位[1](@ref)
“阳春白雪”和“下里巴人”最初指代什么？,乐曲[3](@ref)
表示顺序第五位的字是？,戊[3](@ref)
古人的婚礼在什么时间举行？,傍晚[3](@ref)
“大禹治水”治理的是哪个流域的洪水？,黄河流域[3](@ref)
古代宫殿大门前成对的石狮一般都是？,左雄右雌[3](@ref)
“结发”在古时是指结婚时？,把夫妻头发束在一起[3](@ref)
“天干”共有几个字？,十个[3](@ref)
被誉为“万国之园”的是哪个园林？,圆明园[3](@ref)
“水”字属于哪种汉字构成方式？,象形字[3](@ref)
“月上柳梢头，人约黄昏后”描写的是哪个节日？,元宵节[3](@ref)
道家思想中哪一时期最接近无为而治？,文景之治[3](@ref)
下列哪个不是北京的别称？,上都[3](@ref)
《百家姓》按照什么方式排列？,政治地位[3](@ref)
“一门父子三词客”中的“三父子”是？,苏洵、苏轼、苏辙[3](@ref)
“杀青”原指什么？,制作竹筒的一道工序[3](@ref)
墨子反对的“爱有差等”是哪家学派观点？,儒家[3](@ref)
“美”字最初的含义是？,羊大即为美[3](@ref)
“孔门四教”具体指什么？,文、行、忠、信[3](@ref)
“化干戈为玉帛”中哪个指防御武器？,干[3](@ref)
《霸王别姬》中“虞姬”属于什么角色？,青衣[3](@ref)
《尚书》中的“尚”是什么意思？,上古[3](@ref)
避讳73和84岁是因为这是谁去世的年龄？,孔子和孟子[3](@ref)
“一问三不知”出自《左传》，说的是哪“三不知”？,事情的开始、经过、结果[3](@ref)
北京奥运会徽“中国印”是哪种印？,阴文印[3](@ref)
向别人介绍自己的弟弟妹妹应该用哪种称谓？,舍弟舍妹[3](@ref)
古代战争撤退时敲击什么乐器？,锣[3](@ref)
“父母教，须敬听”出自哪里？,《弟子规》[3](@ref)
下列哪项不是端午节的习俗？,登高采菊[3](@ref)
“弱冠”指男子多少岁？,二十岁[3](@ref)
河姆渡遗址位于哪个流域？,长江流域[3](@ref)
算盘能进行开平方运算吗？,能[3](@ref)
戏曲表演“四功”中“做”指的是？,舞蹈动作[3](@ref)
李清照“绿肥红瘦”描写什么季节？,晚春[3](@ref)
唐代管理邮驿的中央机构是？,尚书省[3](@ref)
著名的“无字碑”与哪位皇帝有关？,武则天[3](@ref)
“不以规矩，不成方圆”中“规矩”意思是？,圆规曲尺[3](@ref)
《红楼梦》的别名是？,《石头记》[3](@ref)
“一衣带水”中的“水”原指？,长江[3](@ref)
被誉为“药王”的是？,孙思邈[3](@ref)
张衡地动仪上有几条龙？,八条[3](@ref)
都江堰和秦始皇陵哪个修建更早？,都江堰[3](@ref)
古代对他人妻子的尊称是？,令正[3](@ref)
“商人”一词与商代有关吗？,有关[3](@ref)
木版年画发源于哪个名镇？,朱仙镇[3](@ref)
戏曲行话中表示最后一出的是？,大轴戏[3](@ref)
“批把”一词来源于？,演奏琵琶的方式[3](@ref)
中医切脉时摸的是？,动脉[3](@ref)
“润笔”指什么？,文章书画稿费[3](@ref)
“杏林”指代什么？,医学界[3](@ref)
《二十四史》中哪部是完全意义上的通史？,《史记》[3](@ref)
面对大院门口，左手边是什么方向？,西[3](@ref)
孔子弟子中擅长做生意的是？,子贡[3](@ref)
中国古代最大的百科全书是？,《永乐大典》[3](@ref)
“红娘”最早出现在哪部作品？,元稹的《莺莺传》[3](@ref)
“社稷”中“社”字代表什么？,土地之神[3](@ref)
正确的研磨方法是？,先慢后快[3](@ref)
度量衡中“衡”指哪个标准？,重量[3](@ref)
“丝竹”中哪个指吹奏乐器？,竹[3](@ref)
“五福”中包括哪一项？,品德高尚[3](@ref)
“孟母三迁”的故事体现了什么？,重视教育环境[3](@ref)
“陛下”中“陛”代指什么？,宫殿的台阶[3](@ref)
被称为“中国百戏之师”的剧种是？,昆曲[3](@ref)
现存最早的兵书是？,《孙子兵法》[3](@ref)
哪句诗的作者离开家时间更长？,儿童相见不相识，笑问客从何处来[3](@ref)
古代满一百岁被称为？,期颐[3](@ref)
狮头以三国人物脸谱打造的是？,南狮[3](@ref)
苏东坡说“宁可食无肉，不可”什么？,居无竹[3](@ref)
与李白诗歌、张旭草书并称“三绝”的是？,裴晏的剑舞[3](@ref)
天干地支纪年以哪一天为起点？,立春[3](@ref)
《齐民要术》是关于什么的书？,农业生产和农事活动的著作[3](@ref)
孔子“三月不知肉滋味”是因为？,听到一段好乐曲[3](@ref)
《康熙字典》成书于哪个朝代？,清朝[3](@ref)
风筝最初用来做什么？,通报消息[3](@ref)
“鼎”的最初用途是？,烹煮器具[3](@ref)
具有寓言性质的书应优先选择？,《庄子》[3](@ref)
“三更”指的是几点？,23点至凌晨1点[3](@ref)
郑和带回的“麒麟”是现在的？,长颈鹿[3](@ref)
下列古代名曲哪首是琵琶曲？,《十面埋伏》[3](@ref)
“老吾老以及人之老”最早由谁提出？,孟子[3](@ref)
“咫”和“尺”哪个更长？,尺[3](@ref)
哪种字体是其余三种的起源？,隶书[3](@ref)
吃年糕的习俗与谁有关？,伍子胥[3](@ref)
甲骨文最早在哪种物品上发现？,药材[3](@ref)
哪个字不含“黑色”的意思？,苍[3](@ref)
历史上“单刀赴会”的是谁？,鲁肃[3](@ref)
谁在家排行老大？,班固[3](@ref)
“双簧”得名于？,初演的两个人都姓黄[3](@ref)
白族姑娘头饰蕴含哪个词语？,风花雪月[3](@ref)
“谢公屐”的用途是？,登山鞋[3](@ref)
《论语》中认为“为仁之本”的是？,孝悌[3](@ref)
“七月流火”指的是？,天气渐渐转凉[3](@ref)
“实事求是”出自哪部典籍？,《汉书》[3](@ref)
秦始皇统一文字为哪种？,小篆[3](@ref)
宣纸得名于什么？,产地[3](@ref)
农历五月的别称是？,榴月[3](@ref)
“司马”的职能是什么？,军政[3](@ref)
旗袍的正确描述是？,左襟压右襟[3](@ref)
不应出现在《岁寒三友图》中的是？,菊[3](@ref)
古琴后增加的两根弦代表？,天、地[3](@ref)
